date      Food   Beer   Smoke  Games  Books  Hshld  Clths  Hlth   Chems  Txtls  Cnstr  Steel  FabPr  ElcEq  Autos  Carry  Mines  Coal   Oil    Util   Telcm  Servs  BusEq  Paper  Trans  Whlsl  Rtail  Meals  Fin    Other
196307   0.05  -2.19  -2.54  -3.48  -0.04  -0.15  -0.67   0.56  -1.00   3.49  -0.78  -1.59  -3.06  -2.43  -0.15  -3.67  -2.90   0.32   2.34   0.80  -0.25  -3.48  -0.55  -1.38  -2.54   0.14  -1.08  -4.21  -0.65  -2.38
196308   4.82   2.14   7.15   6.08   4.66   6.22   4.83   9.56   4.61   4.30   6.04   8.31   4.61   5.17   7.20   3.27   4.02   7.48   3.85   4.20   4.29   2.68   5.23   7.70   7.37   4.21   6.65   1.07   4.37   6.25
196309  -1.43   1.23  -4.23  -4.05   2.67  -1.37  -4.04  -4.06  -0.78  -1.14  -1.25   0.29  -2.68  -1.68   0.31  -4.60  -0.96  -4.48  -3.62  -2.50   2.37  -2.65   0.29   1.45  -3.85  -1.65   1.13  -2.51  -3.31  -2.93
196310   2.41  -1.28   5.78  10.34  -1.15   4.25   2.51   3.38   3.48   5.72  -0.52   1.58   3.97  -0.49  10.14   2.28   3.16   9.45  -0.52  -0.67   3.43   1.51   8.66   1.65   1.77   1.43   0.45   1.11   0.69   3.14
196311  -0.44  -0.72  -5.63  -1.96  -0.18  -0.18  -1.44  -1.65   2.22   1.99  -1.05  -1.83  -0.74  -1.72  -5.42   5.54   1.56   0.67  -1.20  -1.02   4.14  -3.78  -0.27  -0.93   3.78  -4.01  -1.09  -3.61  -2.33   1.67
196312   2.99   1.21   5.98  -2.13  -0.21   4.26  -0.69   1.54   4.51   3.30   0.81   1.51   1.89  -2.55  -1.20  -4.22   6.05   5.42   4.64   2.42  -0.08   0.93   3.26   0.31   4.17  -0.62   0.34   1.75   1.63  -2.82
196401   1.14   0.99  -1.69  -0.95   4.39   1.74  -0.83   3.68   3.26   2.26   2.03   4.43   3.72  -3.13   1.08   3.40  -0.03   4.44   4.85   1.40   3.33   2.05   3.05   1.84   3.86  -2.24   2.81  -0.47  -1.16  -2.33
196402   1.43  -0.17   2.64   2.25   6.79   0.94   1.84   1.66   2.24   3.73   4.82   2.89   3.33   5.01   3.68   5.09   5.70   0.12   1.08   0.87  -0.28   2.73   1.97  -0.32   7.00   1.92   1.58   7.08   3.84   1.06
196403   1.96   6.93  10.37   2.72  -0.95   2.32   1.09  -1.94   2.64   0.45   4.84   6.97   6.63   3.60   0.62   1.74   5.28  -1.81   1.45  -0.75  -0.90   2.54   3.45   1.23   2.85   4.66   2.29   4.04   0.69  -0.29
196404  -1.07  -1.61   1.83  -4.16   2.12  -1.56  -0.62  -1.42  -1.18  -0.47  -0.50  -3.57  -0.35  -4.80   2.95  -4.44  13.40  -4.24   4.23   1.06   0.83  -0.12  -3.69  -1.16  -1.28  -0.13   3.05   1.86  -0.99  -3.70
