date      <=_0   Lo_30  Med_40   Hi_30   Lo_20   Qnt_2   Qnt_3   Qnt_4   Hi_20   Lo_10   Dec_2   Dec_3   Dec_4   Dec_5   Dec_6   Dec_7   Dec_8   Dec_9   Hi_10
196307   -1.53   -0.33    0.15   -0.16   -0.31   -0.36    0.82   -0.66    0.01    0.20   -0.68   -0.35   -0.36   -0.01    1.21   -0.59   -0.77   -0.13    0.35
196308    5.75    6.04    4.55    5.87    6.68    4.56    4.51    5.51    5.94    6.55    6.78    4.87    4.36    5.81    3.92    5.45    5.61    6.38    4.85
196309   -2.78   -1.39   -1.31   -0.84   -0.69   -1.00   -2.40   -1.94   -0.62   -1.31   -0.25   -2.68    0.08   -1.91   -2.63   -2.12   -1.66   -0.48   -0.97
196310    1.50    3.27    1.55    5.92    4.54    1.88    0.54    1.33    7.38    7.69    2.31    0.90    2.48   -0.70    1.13    1.98    0.37    9.94    0.92
196311   -0.67   -0.75    0.61   -3.22   -0.80    1.16   -0.55   -0.90   -3.91   -0.62   -0.94   -0.65    2.27   -0.93   -0.38   -1.22   -0.43   -4.97   -0.97
196312   -0.21    3.03    2.22    0.51    2.61    2.30    3.14    1.78    0.26    1.83    3.19    3.85    1.37    0.83    4.19    1.97    1.49    0.12    0.64
196401   -0.50    3.09    2.67    2.24    3.56    2.98    2.31    0.79    2.66    4.31    3.01    2.18    3.46    1.90    2.50    0.92    0.60    2.00    4.40
196402    2.64    2.07    1.55    1.78    2.53    1.04    1.96    2.15    1.77    2.92    2.23    1.19    0.95    3.92    1.10    2.38    1.81    1.20    3.23
196403    3.00    1.70    1.07    3.53    1.71    0.42    1.99    3.74    3.21    2.65    1.01    1.68   -0.34    2.16    1.91    3.02    4.84    2.32    5.44
196404   -3.41   -0.61    1.20    1.14   -1.41    1.00    1.61   -0.04    1.56   -2.14   -0.84    0.95    1.03   -0.02    2.35    0.24   -0.48    2.35   -0.39
196405   -0.09    1.94    1.33    2.19    2.46    0.51    2.07    2.00    2.44    2.74    2.25    0.93    0.25    2.22    2.01    2.54    1.17    2.88    1.34
196406    0.68    1.42    1.68    1.64    1.21    2.54    0.72    1.08    1.58    0.60    1.68    1.83    2.99    0.75    0.70    0.56    1.87    1.59    1.54
196407    0.58    0.65    2.73    4.36    0.47    1.98    2.09    2.58    5.39   -0.66    1.80    0.90    3.37    1.97    2.29    3.14    1.91    5.97    3.53
196408   -3.09   -1.76   -1.20    0.83   -2.18   -1.42   -1.23    0.14    1.08   -2.16   -2.20   -1.20   -1.71   -1.57   -0.66    0.10    0.20    1.36    0.16
196409    5.84    2.17    3.57    3.24    3.04    2.42    3.50    2.64    3.32    3.42    2.59    1.03    4.19    2.87    4.56    2.32    3.04    3.35    3.22
196410    1.16   -0.31    2.14    0.57   -0.42    1.28    1.59    1.37    0.35   -1.13    0.41   -0.16    3.05    1.80    1.23    1.59    1.10    0.68   -0.73
196411   -1.84    0.22    1.04   -1.02    0.70    1.09   -0.20   -0.07   -1.26   -0.38    1.94   -0.41    2.87    0.78   -1.85    0.23   -0.45   -1.86    0.79
196412   -0.94    0.92   -0.22    0.41    0.09    1.07   -0.16   -0.75    0.86    0.19   -0.03    2.05   -0.05   -0.03   -0.40   -0.80   -0.70    1.30   -0.61
196501    7.38    4.43    2.82    4.09    5.48    2.95    2.31    4.63    3.71    6.27    4.57    3.04    2.84    1.35    3.96    4.29    5.05    3.64    3.95
196502    4.09    1.88   -0.68    0.06    2.49    0.05   -1.34    1.67   -0.26    3.17    1.70    1.05   -1.12   -2.35    0.38    2.33    0.85   -0.62    0.94
196503   -0.56   -1.22   -1.54    0.63   -1.59   -1.62   -0.79   -0.24    0.71   -1.35   -1.88   -0.70   -2.73   -1.42    0.24   -0.79    0.43    1.11   -0.64
196504    4.17    3.96    2.24    4.46    4.89    2.43    2.11    2.92    5.14    5.76    3.86    2.71    2.09    1.04    3.83    3.00    2.83    6.17    1.56
196505   -0.89    0.04    0.04   -2.16   -0.59    1.29   -1.31   -0.75   -2.49   -0.60   -0.59    0.91    1.76   -0.26   -2.97   -0.27   -1.34   -2.95   -0.83
196506  -11.90   -4.81   -4.32   -5.97   -5.00   -4.47   -3.96   -5.51   -5.97   -5.75   -4.09   -4.55   -4.38   -3.01   -5.52   -5.15   -5.96   -6.28   -4.87
196507    4.18    2.25    0.87    2.25    2.54    0.83    1.83    1.34    2.08    3.09    1.91    1.71    0.13    1.19    2.55    0.70    2.62    2.15    1.87
196508    7.49    4.07    1.90    2.84    4.96    2.02    2.79    1.87    2.47    4.72    5.23    2.40    1.71    3.88    1.60    0.94    3.67    2.44    2.58
196509    4.49    3.47    2.91    3.01    3.50    3.05    3.09    2.31    3.86    2.45    4.70    3.40    2.76    3.40    2.73    2.92    1.14    4.37    2.43
196510    7.39    3.11    1.68    4.71    3.85    1.02    2.04    3.41    5.01    3.91    3.78    1.68    0.47    2.18    1.89    3.08    4.04    5.53    3.50
196511    7.64    1.91   -0.80   -2.06    1.93   -0.53    0.90   -0.73   -2.49    3.28    0.40    1.86   -2.50   -0.06    2.00   -0.55   -1.08   -3.75    1.20
196512    4.52    1.61    0.58    1.73    2.06    0.17    0.70    2.06    1.31    0.88    3.43    0.73   -0.31    0.89    0.49    1.74    2.68    1.30    1.32
196601    4.54    1.06    0.24    2.17    1.34    0.06    0.04    1.52    2.34    1.49    1.16    0.50   -0.33   -0.82    1.00    1.37    1.81    1.53    4.60
196602    5.21   -0.33   -1.78   -1.31    0.60   -1.41   -2.88   -1.60   -1.39    2.89   -2.03   -2.22   -0.70   -2.58   -3.21   -1.85   -1.12   -1.72   -0.48
